Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Integrity Issue,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Developer,Software Development,B.E.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee,B.A.,M.C.A.,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Software Developer,Software Development,B.Sc,M.C.A.,DISM ,metric,Personal ,0,V,F,A,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Shift Timings,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Consultant ,Medical Transcription,No details,No details,no details,no details,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Developer,Software Development,B.Com,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
BI Developer,Software Development,B.C.A. ,No details,no details,no details,Personal ,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
System Analyst,US IT,B.Sc,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,IT,B.Sc,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,IT,No details,No details,Diplome MCSE & CCNA Tranined ,no details,Shift Timings,1,V,M,Rating not available,A2,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
MT/QA,Medical Transcription,B.A.,No details,Diploma in computer  ,no details,Terminated,0,V,M,B+,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Coding Analyst,Medical Coding,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Engineer,Software Development,B.E.,No details,no details,no details,KPMG Red Report,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Executive,Human Resources,B.A.,No details,no details,no details,Abanonded,1,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Executive,Administration,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,B-,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
SQL Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,IT,No details,No details,no details,no details,Abanonded,1,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior ETL Developer,Software Development,B.Sc,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee-AR Followup- PLB,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Human Resources,B.Sc,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.A.,No details,no details,no details,Personal ,1,V,F,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,B.A.,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
IT Analyst,US IT,B.E.,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Coding Analyst,Medical Coding,B.A.M.S.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,F,B+,A3,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Com,M.Com,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Sc,M.Sc.,no details,no details,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
Front Office Executive,Administration,B.Com,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,AR Denials,No details,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Engineer,Software Development,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Higher Studies,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,Diploma in Pharmacy ,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Developer,Software Development,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Coding Analyst,Medical Coding,BIM ,No details,no details,CPC ,No data available,0,V,F,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Coding Analyst,Medical Coding,B.Sc,M.Sc.,no details,no details,No data available,0,F,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,AR Denials,B.A.,No details,no details,no details, Absconding,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
PA Developer,Software Development,B.E.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Software Developer,Software Development,B.A.,PGDA,no details,no details,Personal ,0,V,M,B+,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
System Administrator - IT Infra & Operations,IT,B.A.,No details,no details,CCNA ,Better opportunity,0,V,M,A,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Coding Analyst,Medical Coding,B.Sc,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,IT,9:00 PM - 6:00 AM,IT
Trainee,Software Development,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.A.,No details,no details,no details, Absconding,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA-1,Medical Transcription,No details,No details,no details,no details, Absconding,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Coding Analyst,Medical Coding,B.P.T.,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
IT Analyst,IT,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Engineer,Software Development,B.E.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
MT/QA,Medical Transcription,No details,No details,no details, B.Sc.,Shift Timings,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Administration,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior System Administrator,IT,B.Sc,mcsa + ccna,no details,no details,Abanonded,0,V,M,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Coding-QA,Medical Coding,B.Com,No details,no details,no details,Abanonded,1,V,M,Rating not available,A3,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
Senior Coding Analyst,Medical Coding,B.H.M.S ,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,1,V,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Terminated,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Executive,Administration,B.Com,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,Patient Financial Services,B.Com,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Developer,Software Development,B.Sc,M.C.A.,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Coding Analyst,Medical Coding,No details,No details,Diploma in Pharmacy ,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Patient Financial Services,B.A.,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee - Cash posting,B.Sc,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee,B.Com,No details,no details,no details,Personal ,0,V,F,A,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,Bachelors,no details,Personal ,0,V,M,B-,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
SQL Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,Abanonded,0,V,F,B-,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Trainee,Software Development,B.C.A. ,M.C.A.,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
SQL Developer,Software Development,B.Sc,M.C.A.,no details,no details,No data available,0,V,F,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Milwaukee-AR,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Milwaukee-AR,B.A.,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,Bachelors ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.E.,No details,no details,no details, Absconding,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Personal ,1,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,1,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.Sc,M.C.A.,no details,no details,Personal ,1,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,0,V,M,B-,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Team Coach,Patient Financial Services,B.Com,M.C.A.,no details,metric,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,Personal ,0,V,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,0,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-2,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Health,1,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Health,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details, B.Sc.,KPMG Red Report,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Management Trainee,Human Resources,B.Com,M.Com,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Terminated,0,V,F,Rating not available,A2,R1 RCM India,Support,06:00 AM - 15:00 PM,Support
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,M.Sc.,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
